budget,genres,id,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",135397,418.708552,2015-06-09,1513528810,124.0,Released,Jurassic World,6.5,8662
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,93.004993,2012-10-25,1108561013,143.0,Released,Skyfall,6.9,7604
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,35.149586,2004-06-25,783766341,127.0,Released,Spider-Man 2,6.7,4321
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",68721,77.68208,2013-04-18,1215439994,130.0,Released,Iron Man 3,6.8,8806
200000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",12155,78.530105,2010-03-03,1025491110,108.0,Released,Alice in Wonderland,6.4,4645
210000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",36668,3.857526,2006-05-24,459359555,104.0,Released,X-Men: The Last Stand,6.3,3525
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",62211,89.186492,2013-06-20,743559607,104.0,Released,Monsters University,7.0,3528
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",8373,21.939663,2009-06-19,836297228,150.0,Released,Transformers: Revenge of the Fallen,6.0,3138
210000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",91314,116.840296,2014-06-25,1091405097,165.0,Released,Transformers: Age of Extinction,5.8,3095
200000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",68728,46.985445,2013-03-07,491868548,130.0,Released,Oz: The Great and Powerful,5.7,3530
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,89.270217,2014-04-16,705717432,142.0,Released,The Amazing Spider-Man 2,6.5,4179
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",20526,73.79505,2010-12-10,400062763,125.0,Released,TRON: Legacy,6.3,2841
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49013,49.98659,2011-06-11,559852396,106.0,Released,Cars 2,5.8,2033
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",44912,51.872839,2011-06-16,219851172,114.0,Released,Green Lantern,5.1,2487
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",10193,59.995418,2010-06-16,1066969703,103.0,Released,Toy Story 3,7.6,4597
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",534,71.862892,2009-05-20,371353001,115.0,Released,Terminator Salvation,5.9,2463
190000000,"[{""id"": 28, ""name"": ""Action""}]",168259,102.322217,2015-04-01,1506249360,137.0,Released,Furious 7,7.3,4176
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",72190,81.834855,2013-06-20,531865000,116.0,Released,World War Z,6.7,5560
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",127585,118.078691,2014-05-15,747862775,131.0,Released,X-Men: Days of Future Past,7.5,6032
190000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",54138,78.291018,2013-05-05,467365246,132.0,Released,Star Trek Into Darkness,7.4,4418
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",81005,43.349855,2013-02-27,197687603,114.0,Released,Jack the Giant Slayer,5.5,2598
105000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",64682,61.196071,2013-05-10,351040419,143.0,Released,The Great Gatsby,7.3,3769
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",9543,62.169881,2010-05-19,335154643,116.0,Released,Prince of Persia: The Sands of Time,6.2,2317
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",68726,56.523205,2013-07-11,407602906,131.0,Released,Pacific Rim,6.7,4794
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",38356,28.529607,2011-06-28,1123746996,154.0,Released,Transformers: Dark of the Moon,6.1,3299
185000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",217,75.674458,2008-05-21,786636033,122.0,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",105864,51.692953,2015-11-14,331926147,93.0,Released,The Good Dinosaur,6.6,1736
185000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",62177,125.114374,2012-06-21,538983207,93.0,Released,Brave,6.7,4641
185000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",188927,65.352913,2016-07-07,343471816,122.0,Released,Star Trek Beyond,6.6,2568
180000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10681,66.390712,2008-06-22,521311860,98.0,Released,WALL·E,7.8,6296
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",5174,22.57178,2007-08-08,258022233,91.0,Released,Rush Hour 3,6.1,783
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",14161,45.274225,2009-10-10,769653595,158.0,Released,2012,5.6,4903
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",17979,39.744242,2009-11-04,325233863,96.0,Released,A Christmas Carol,6.6,1095
176000003,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",76757,85.36908,2015-02-04,183987723,124.0,Released,Jupiter Ascending,5.2,2768
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",258489,42.741719,2016-06-29,356743061,109.0,Released,The Legend of Tarzan,5.5,2430
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",411,67.391328,2005-12-07,748806957,143.0,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,"[{""id"": 878, ""name"": ""Science Fiction""}]",246655,139.272042,2016-05-18,543934787,144.0,Released,X-Men: Apocalypse,6.4,4721
185000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",155,187.322927,2008-07-16,1004558444,152.0,Released,The Dark Knight,8.2,12002
175000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",14160,92.201962,2009-05-13,735099082,96.0,Released,Up,7.7,6870
175000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",15512,36.167578,2009-03-19,381509870,94.0,Released,Monsters vs Aliens,6.0,1423
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",1726,120.725053,2008-04-30,585174222,126.0,Released,Iron Man,7.4,8776
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",44826,32.319043,2011-11-22,185770160,126.0,Released,Hugo,7.0,2141
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",8487,40.748915,1999-06-29,222104681,106.0,Released,Wild Wild West,5.1,1020
145000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1735,60.034162,2008-07-01,401128639,112.0,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",297761,90.23792,2016-08-02,745000000,123.0,Released,Suicide Squad,5.9,7458
175000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2698,27.082182,2007-06-09,173000000,96.0,Released,Evan Almighty,5.3,1151
178000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",137113,79.456485,2014-05-27,370541256,113.0,Released,Edge of Tomorrow,7.6,4858
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",9804,44.640292,1995-07-28,264218220,135.0,Released,Waterworld,5.9,992
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",14869,32.852443,2009-08-04,302469017,118.0,Released,G.I. Joe: The Rise of Cobra,5.6,1962
175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",150540,128.655964,2015-06-09,857611174,94.0,Released,Inside Out,8.0,6560
175000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",278927,94.199316,2016-04-07,966550600,106.0,Released,The Jungle Book,6.7,2892
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",10138,77.300194,2010-04-28,623933331,124.0,Released,Iron Man 2,6.6,6849
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",58595,77.178973,2012-05-30,396600000,127.0,Released,Snow White and the Huntsman,5.8,3118
180000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",102651,110.620647,2014-05-28,758539785,97.0,Released,Maleficent,7.0,4496
170000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",119450,243.791743,2014-06-26,710644566,130.0,Released,Dawn of the Planet of the Apes,7.3,4410
175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",64686,41.796339,2013-12-06,150962475,119.0,Released,47 Ronin,5.9,1326
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",100402,72.225265,2014-03-20,714766572,136.0,Released,Captain America: The Winter Soldier,7.6,5764
165000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10192,44.041186,2010-05-16,752600867,93.0,Released,Shrek Forever After,6.0,1959
190000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",158852,130.311355,2015-05-19,209154322,130.0,Released,Tomorrowland,6.2,2846
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",177572,203.73459,2014-10-24,652105443,102.0,Released,Big Hero 6,7.8,6135
165000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",82690,62.341073,2012-11-01,471222889,108.0,Released,Wreck-It Ralph,7.1,4570
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",5255,47.323228,2004-11-10,305875730,100.0,Released,The Polar Express,6.4,1474
165000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",47933,48.775723,2016-06-22,389681935,120.0,Released,Independence Day: Resurgence,4.9,2491
165000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10191,67.263269,2010-03-05,494878759,98.0,Released,How to Train Your Dragon,7.5,4227
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",296,69.405188,2003-07-02,435000000,109.0,Released,Terminator 3: Rise of the Machines,5.9,2143
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",118340,481.098624,2014-07-30,773328629,121.0,Released,Guardians of the Galaxy,7.9,9742
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",157336,724.247784,2014-11-05,675120017,169.0,Released,Interstellar,8.1,10867
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",27205,167.58371,2010-07-14,825532764,148.0,Released,Inception,8.1,13752
15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",315011,9.476999,2016-07-29,77000000,120.0,Released,Shin Godzilla,6.5,143
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",49051,108.849621,2012-11-26,1021103568,169.0,Released,The Hobbit: An Unexpected Journey,7.0,8297
38000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",9799,6.909942,2001-06-22,207283925,106.0,Released,The Fast and the Furious,6.6,3428
150000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",4922,60.269279,2008-11-24,333932083,166.0,Released,The Curious Case of Benjamin Button,7.3,3292
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",49538,3.195174,2011-05-24,353624124,132.0,Released,X-Men: First Class,7.1,5181
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",131634,127.284427,2015-11-18,653428261,137.0,Released,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",27022,35.580815,2010-07-13,215283742,109.0,Released,The Sorcerer's Apprentice,5.8,1470
160000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",503,21.133748,2006-05-12,181674817,99.0,Released,Poseidon,5.5,583
170000000,"[{""id"": 14, ""name"": ""Fantasy""}]",241259,56.268916,2016-05-25,299370084,113.0,Released,Alice Through the Looking Glass,6.5,1725
160000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",810,42.986467,2007-05-17,798958165,93.0,Released,Shrek the Third,6.0,2278
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",68735,63.148529,2016-05-25,433677183,123.0,Released,Warcraft,6.3,2268
155000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",87101,202.042635,2015-06-23,440603537,126.0,Released,Terminator Genisys,5.8,3631
155000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",10140,49.661984,2010-08-13,415686217,113.0,Released,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",676,34.20669,2001-05-21,449220945,183.0,Released,Pearl Harbor,6.6,1791
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",1858,25.468493,2007-06-27,709709780,144.0,Released,Transformers,6.6,4040
155000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1966,39.019229,2004-11-21,167298192,175.0,Released,Alexander,5.6,927
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}]",675,78.144395,2007-06-28,938212738,138.0,Released,Harry Potter and the Order of the Phoenix,7.4,5494
